"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Massachusetts"	"25"	"Dukes County, MA"	"25007"			Unreliable
	"Massachusetts"	"25"	"Suffolk County, MA"	"25025"	48	8e+05	6
	"Michigan"	"26"	"Bay County, MI"	"26017"	13	104000	12.5
	"Michigan"	"26"	"Clinton County, MI"	"26037"	11	79137	13.9
	"Michigan"	"26"	"Delta County, MI"	"26041"	10	36900	27.1
	"Michigan"	"26"	"Hillsdale County, MI"	"26059"			Unreliable
	"Michigan"	"26"	"Huron County, MI"	"26063"			Unreliable
	"Minnesota"	"27"	"Cook County, MN"	"27031"			Unreliable
	"Minnesota"	"27"	"Dakota County, MN"	"27037"	49	441441	11.1
	"Minnesota"	"27"	"Freeborn County, MN"	"27047"			Unreliable
	"Minnesota"	"27"	"Swift County, MN"	"27151"	0		0
	"Minnesota"	"27"	"Traverse County, MN"	"27155"			Unreliable
	"Mississippi"	"28"	"Benton County, MS"	"28009"	0		0
	"Mississippi"	"28"	"Covington County, MS"	"28031"			Unreliable
	"Mississippi"	"28"	"DeSoto County, MS"	"28033"	28	186667	15
	"Mississippi"	"28"	"Hinds County, MS"	"28049"	24	226415	10.6
	"Mississippi"	"28"	"Perry County, MS"	"28111"			Unreliable
	"Mississippi"	"28"	"Scott County, MS"	"28123"			Unreliable
	"Mississippi"	"28"	"Wilkinson County, MS"	"28157"			Unreliable
	"Missouri"	"29"	"Chariton County, MO"	"29041"			Unreliable
	"Missouri"	"29"	"Christian County, MO"	"29043"	14	89172	15.7
	"Missouri"	"29"	"Laclede County, MO"	"29105"	11	36066	30.5
	"Missouri"	"29"	"Linn County, MO"	"29115"			Unreliable
	"Missouri"	"29"	"Livingston County, MO"	"29117"			Unreliable
	"Missouri"	"29"	"Miller County, MO"	"29131"			Unreliable
	"Missouri"	"29"	"Morgan County, MO"	"29141"			Unreliable
	"Missouri"	"29"	"Perry County, MO"	"29157"			Unreliable
	"Missouri"	"29"	"Stoddard County, MO"	"29207"			Unreliable
	"Missouri"	"29"	"Taney County, MO"	"29213"			Unreliable
	"Montana"	"30"	"Lincoln County, MT"	"30053"	11	19749	55.7
	"Montana"	"30"	"Ravalli County, MT"	"30081"	15	44379	33.8
	"Montana"	"30"	"Rosebud County, MT"	"30087"			Unreliable
	"Montana"	"30"	"Teton County, MT"	"30099"			Unreliable
	"Montana"	"30"	"Valley County, MT"	"30105"	0		0
	"Nebraska"	"31"	"Logan County, NE"	"31113"	0		0
	"Nebraska"	"31"	"Loup County, NE"	"31115"	0		0
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"			Unreliable
	"Minnesota"	"27"	"Brown County, MN"	"27015"			Unreliable
	"Minnesota"	"27"	"Chisago County, MN"	"27025"			Unreliable
