"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Missouri"	"29"	"Worth County, MO"	"29227"	0		0
	"Texas"	"48"	"Cochran County, TX"	"48079"	0		0
	"Iowa"	"19"	"Crawford County, IA"	"19047"	0		0
	"Virginia"	"51"	"Essex County, VA"	"51057"	0		0
	"Georgia"	"13"	"Warren County, GA"	"13301"	0		0
	"Oklahoma"	"40"	"Major County, OK"	"40093"	0		0
	"Arkansas"	"05"	"Howard County, AR"	"05061"	0		0
	"Kansas"	"20"	"Anderson County, KS"	"20003"	0		0
	"Texas"	"48"	"Terrell County, TX"	"48443"	0		0
	"Iowa"	"19"	"Shelby County, IA"	"19165"	0		0
	"Missouri"	"29"	"Wayne County, MO"	"29223"	0		0
	"Oregon"	"41"	"Harney County, OR"	"41025"	0		0
	"Missouri"	"29"	"Clark County, MO"	"29045"	0		0
	"Missouri"	"29"	"Cass County, MO"	"29037"	13	105691	12.3
	"Maryland"	"24"	"Kent County, MD"	"24029"			Unreliable
	"Michigan"	"26"	"Emmet County, MI"	"26047"			Unreliable
	"Michigan"	"26"	"Gratiot County, MI"	"26057"			Unreliable
	"Michigan"	"26"	"Keweenaw County, MI"	"26083"	0		0
	"Michigan"	"26"	"Lake County, MI"	"26085"			Unreliable
	"Michigan"	"26"	"Livingston County, MI"	"26093"	34	192090	17.7
	"Michigan"	"26"	"Muskegon County, MI"	"26121"	50	173611	28.8
	"Michigan"	"26"	"Shiawassee County, MI"	"26155"	12	68182	17.6
	"Michigan"	"26"	"Wayne County, MI"	"26163"	736	1748219	42.1
	"Michigan"	"26"	"Wexford County, MI"	"26165"			Unreliable
	"Minnesota"	"27"	"Itasca County, MN"	"27061"			Unreliable
	"Minnesota"	"27"	"Koochiching County, MN"	"27071"	0		0
	"Minnesota"	"27"	"Lake of the Woods County, MN"	"27077"	0		0
	"Mississippi"	"28"	"Lawrence County, MS"	"28077"			Unreliable
	"Missouri"	"29"	"Carroll County, MO"	"29033"			Unreliable
	"Missouri"	"29"	"DeKalb County, MO"	"29063"	0		0
	"Missouri"	"29"	"Jefferson County, MO"	"29099"	95	225118	42.2
	"Missouri"	"29"	"Phelps County, MO"	"29161"	19	44601	42.6
	"Missouri"	"29"	"Webster County, MO"	"29225"	13	39634	32.8
	"Montana"	"30"	"Fallon County, MT"	"30025"	0		0
	"Montana"	"30"	"Powder River County, MT"	"30075"	0		0
	"Nebraska"	"31"	"Brown County, NE"	"31017"	0		0
	"Nebraska"	"31"	"Garden County, NE"	"31069"	0		0
	"Nebraska"	"31"	"Hall County, NE"	"31079"			Unreliable
	"Nebraska"	"31"	"Lancaster County, NE"	"31109"	26	320988	8.1
	"Nebraska"	"31"	"Logan County, NE"	"31113"	0		0
	"Nebraska"	"31"	"McPherson County, NE"	"31117"	0		0
	"Nebraska"	"31"	"Pawnee County, NE"	"31133"	0		0
	"Nebraska"	"31"	"Pierce County, NE"	"31139"	0		0
	"Nebraska"	"31"	"Richardson County, NE"	"31147"	0		0
	"Michigan"	"26"	"Tuscola County, MI"	"26157"			Unreliable
	"Michigan"	"26"	"Washtenaw County, MI"	"26161"	64	367816	17.4
	"Minnesota"	"27"	"Big Stone County, MN"	"27011"	0		0
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"			Unreliable
	"Minnesota"	"27"	"Brown County, MN"	"27015"	0		0
	"Minnesota"	"27"	"Cook County, MN"	"27031"	0		0
	"Minnesota"	"27"	"Norman County, MN"	"27107"	0		0
	"Minnesota"	"27"	"Sibley County, MN"	"27143"	0		0
	"Minnesota"	"27"	"Stevens County, MN"	"27149"	0		0
	"Minnesota"	"27"	"Traverse County, MN"	"27155"	0		0
	"Minnesota"	"27"	"Wadena County, MN"	"27159"			Unreliable
	"Mississippi"	"28"	"Hancock County, MS"	"28045"	20	47619	42
	"Mississippi"	"28"	"Issaquena County, MS"	"28055"	0		0
	"Mississippi"	"28"	"Itawamba County, MS"	"28057"			Unreliable
	"Mississippi"	"28"	"Madison County, MS"	"28089"			Unreliable
	"Mississippi"	"28"	"Quitman County, MS"	"28119"			Unreliable
	"Mississippi"	"28"	"Sunflower County, MS"	"28133"			Unreliable
	"Missouri"	"29"	"Boone County, MO"	"29019"	27	180000	15
	"Missouri"	"29"	"Linn County, MO"	"29115"	0		0
	"Missouri"	"29"	"Livingston County, MO"	"29117"			Unreliable
	"Missouri"	"29"	"McDonald County, MO"	"29119"			Unreliable
	"Missouri"	"29"	"Mercer County, MO"	"29129"	0		0
	"Missouri"	"29"	"Moniteau County, MO"	"29135"	0		0
	"Missouri"	"29"	"Shelby County, MO"	"29205"	0		0
	"Montana"	"30"	"Musselshell County, MT"	"30065"	0		0
	"Montana"	"30"	"Toole County, MT"	"30101"			Unreliable
	"Missouri"	"29"	"Knox County, MO"	"29103"			Unreliable
	"Missouri"	"29"	"Mississippi County, MO"	"29133"			Unreliable
	"Missouri"	"29"	"St. Louis city, MO"	"29510"	240	300752	79.8
	"Montana"	"30"	"Carbon County, MT"	"30009"	0		0
	"Montana"	"30"	"Gallatin County, MT"	"30031"	11	114583	9.6
	"Missouri"	"29"	"Warren County, MO"	"29219"			Unreliable
	"Montana"	"30"	"Hill County, MT"	"30041"			Unreliable
	"Montana"	"30"	"Pondera County, MT"	"30073"	0		0
	"Nebraska"	"31"	"Garfield County, NE"	"31071"	0		0
	"Nebraska"	"31"	"Merrick County, NE"	"31121"	0		0
	"Nebraska"	"31"	"Rock County, NE"	"31149"	0		0
	"Nebraska"	"31"	"Saline County, NE"	"31151"			Unreliable
	"Nebraska"	"31"	"Sherman County, NE"	"31163"	0		0
	"New Jersey"	"34"	"Cumberland County, NJ"	"34011"	84	149466	56.2
