"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Idaho"	"16"	"Butte County, ID"	"16023"	0		0
	"Massachusetts"	"25"	"Middlesex County, MA"	"25017"	29	1611111	1.8
	"Michigan"	"26"	"Clare County, MI"	"26035"			Unreliable
	"Michigan"	"26"	"Clinton County, MI"	"26037"	11	79710	13.8
	"Michigan"	"26"	"Iosco County, MI"	"26069"			Unreliable
	"Michigan"	"26"	"Luce County, MI"	"26095"			Unreliable
	"Michigan"	"26"	"Marquette County, MI"	"26103"	10	66667	15
	"Michigan"	"26"	"Ogemaw County, MI"	"26129"			Unreliable
	"Minnesota"	"27"	"Dodge County, MN"	"27039"	0		0
	"Mississippi"	"28"	"Clarke County, MS"	"28023"			Unreliable
	"Mississippi"	"28"	"Clay County, MS"	"28025"			Unreliable
	"Mississippi"	"28"	"Copiah County, MS"	"28029"	15	27726	54.1
	"Mississippi"	"28"	"Jefferson Davis County, MS"	"28065"			Unreliable
	"Mississippi"	"28"	"Lee County, MS"	"28081"	17	82927	20.5
	"Mississippi"	"28"	"Webster County, MS"	"28155"			Unreliable
	"Mississippi"	"28"	"Yalobusha County, MS"	"28161"			Unreliable
	"Missouri"	"29"	"Bates County, MO"	"29013"			Unreliable
	"Missouri"	"29"	"Callaway County, MO"	"29027"			Unreliable
	"Missouri"	"29"	"Cooper County, MO"	"29053"			Unreliable
	"Missouri"	"29"	"Douglas County, MO"	"29067"			Unreliable
	"Missouri"	"29"	"Franklin County, MO"	"29071"	19	105556	18
	"Missouri"	"29"	"Iron County, MO"	"29093"	0		0
	"Missouri"	"29"	"Johnson County, MO"	"29101"	11	54455	20.2
	"Montana"	"30"	"Garfield County, MT"	"30033"	0		0
	"Montana"	"30"	"Glacier County, MT"	"30035"			Unreliable
	"Nebraska"	"31"	"Cass County, NE"	"31025"			Unreliable
	"Nebraska"	"31"	"Cuming County, NE"	"31039"			Unreliable
	"Nebraska"	"31"	"Dixon County, NE"	"31051"	0		0
	"Nebraska"	"31"	"Jefferson County, NE"	"31095"			Unreliable
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	33	370787	8.9
	"Minnesota"	"27"	"Freeborn County, MN"	"27047"			Unreliable
	"Minnesota"	"27"	"Lake County, MN"	"27075"			Unreliable
	"Minnesota"	"27"	"Mower County, MN"	"27099"			Unreliable
	"Mississippi"	"28"	"Alcorn County, MS"	"28003"	10	34130	29.3
	"Mississippi"	"28"	"Grenada County, MS"	"28043"			Unreliable
	"Mississippi"	"28"	"Montgomery County, MS"	"28097"			Unreliable
	"Mississippi"	"28"	"Wilkinson County, MS"	"28157"			Unreliable
	"Missouri"	"29"	"Audrain County, MO"	"29007"			Unreliable
	"Missouri"	"29"	"Butler County, MO"	"29023"	13	42208	30.8
	"Missouri"	"29"	"Lafayette County, MO"	"29107"			Unreliable
	"Missouri"	"29"	"Mississippi County, MO"	"29133"			Unreliable
	"Missouri"	"29"	"Morgan County, MO"	"29141"			Unreliable
	"Missouri"	"29"	"New Madrid County, MO"	"29143"			Unreliable
	"Montana"	"30"	"McCone County, MT"	"30055"	0		0
	"Montana"	"30"	"Meagher County, MT"	"30059"	0		0
	"Missouri"	"29"	"Knox County, MO"	"29103"			Unreliable
	"Missouri"	"29"	"Laclede County, MO"	"29105"			Unreliable
	"Missouri"	"29"	"Lawrence County, MO"	"29109"			Unreliable
	"Missouri"	"29"	"Marion County, MO"	"29127"			Unreliable
	"Missouri"	"29"	"Monroe County, MO"	"29137"			Unreliable
	"Missouri"	"29"	"Phelps County, MO"	"29161"			Unreliable
	"Missouri"	"29"	"Ripley County, MO"	"29181"			Unreliable
	"Missouri"	"29"	"Wright County, MO"	"29229"			Unreliable
	"Montana"	"30"	"Flathead County, MT"	"30029"	23	111650	20.6
	"Missouri"	"29"	"Texas County, MO"	"29215"	11	25287	43.5
	"Missouri"	"29"	"Washington County, MO"	"29221"	10	23419	42.7
	"Montana"	"30"	"Fallon County, MT"	"30025"	0		0
	"Montana"	"30"	"Park County, MT"	"30067"			Unreliable
	"Nebraska"	"31"	"Chase County, NE"	"31029"			Unreliable
	"Nebraska"	"31"	"Gosper County, NE"	"31073"	0		0
	"Nebraska"	"31"	"Phelps County, NE"	"31137"			Unreliable
	"Nebraska"	"31"	"Valley County, NE"	"31175"	0		0
	"North Dakota"	"38"	"Pierce County, ND"	"38069"	0		0
	"New Jersey"	"34"	"Gloucester County, NJ"	"34015"	23	306667	7.5
	"New Jersey"	"34"	"Salem County, NJ"	"34033"			Unreliable
	"New Mexico"	"35"	"Torrance County, NM"	"35057"			Unreliable
	"New York"	"36"	"Bronx County, NY"	"36005"	102	1378378	7.4
	"New York"	"36"	"Genesee County, NY"	"36037"			Unreliable
	"New York"	"36"	"Monroe County, NY"	"36055"	95	748031	12.7
	"New York"	"36"	"Putnam County, NY"	"36079"			Unreliable
	"North Carolina"	"37"	"Beaufort County, NC"	"37013"			Unreliable
	"North Carolina"	"37"	"Hyde County, NC"	"37095"			Unreliable
	"North Carolina"	"37"	"Mecklenburg County, NC"	"37119"	166	1144828	14.5
	"North Carolina"	"37"	"Scotland County, NC"	"37165"			Unreliable
	"North Carolina"	"37"	"Vance County, NC"	"37181"	16	42105	38
	"North Carolina"	"37"	"Wake County, NC"	"37183"	112	1166667	9.6
	"North Carolina"	"37"	"Watauga County, NC"	"37189"			Unreliable
	"North Dakota"	"38"	"Bottineau County, ND"	"38009"			Unreliable
	"North Dakota"	"38"	"Burleigh County, ND"	"38015"			Unreliable
	"North Dakota"	"38"	"Foster County, ND"	"38031"	0		0
	"North Dakota"	"38"	"Slope County, ND"	"38087"	0		0
	"New Hampshire"	"33"	"Belknap County, NH"	"33001"			Unreliable
	"New Hampshire"	"33"	"Hillsborough County, NH"	"33011"	46	425926	10.8
	"New Hampshire"	"33"	"Sullivan County, NH"	"33019"			Unreliable
	"New Jersey"	"34"	"Sussex County, NJ"	"34037"	11	144737	7.6
	"New Mexico"	"35"	"Hidalgo County, NM"	"35023"			Unreliable
	"New Mexico"	"35"	"Taos County, NM"	"35055"	12	34582	34.7
	"New York"	"36"	"Columbia County, NY"	"36021"			Unreliable
	"New York"	"36"	"Delaware County, NY"	"36025"			Unreliable
	"Nebraska"	"31"	"Sioux County, NE"	"31165"			Unreliable
	"Nevada"	"32"	"Lincoln County, NV"	"32017"			Unreliable
	"Nevada"	"32"	"Nye County, NV"	"32023"	18	54711	32.9
	"New Hampshire"	"33"	"Strafford County, NH"	"33017"	11	132530	8.3
	"New Jersey"	"34"	"Warren County, NJ"	"34041"			Unreliable
	"New Mexico"	"35"	"Chaves County, NM"	"35005"	20	63898	31.3
	"New York"	"36"	"Westchester County, NY"	"36119"	29	1e+06	2.9
	"North Carolina"	"37"	"Anson County, NC"	"37007"			Unreliable
	"North Carolina"	"37"	"Forsyth County, NC"	"37067"	70	388889	18
	"North Carolina"	"37"	"Franklin County, NC"	"37069"	12	74534	16.1
	"Pennsylvania"	"42"	"Columbia County, PA"	"42037"	13	65327	19.9
	"Pennsylvania"	"42"	"Huntingdon County, PA"	"42061"			Unreliable
	"Pennsylvania"	"42"	"Northampton County, PA"	"42095"	35	318182	11
	"Pennsylvania"	"42"	"Pike County, PA"	"42103"	11	60440	18.2
	"Pennsylvania"	"42"	"Snyder County, PA"	"42109"			Unreliable
	"South Carolina"	"45"	"Lee County, SC"	"45061"			Unreliable
	"North Carolina"	"37"	"Madison County, NC"	"37115"			Unreliable
	"North Carolina"	"37"	"Orange County, NC"	"37135"	19	150794	12.6
	"North Carolina"	"37"	"Wayne County, NC"	"37191"	25	117371	21.3
	"North Dakota"	"38"	"Cass County, ND"	"38017"	23	193277	11.9
	"North Dakota"	"38"	"Emmons County, ND"	"38029"			Unreliable
	"North Dakota"	"38"	"McIntosh County, ND"	"38051"	0		0
	"North Dakota"	"38"	"McLean County, ND"	"38055"			Unreliable
	"North Dakota"	"38"	"Pembina County, ND"	"38067"	0		0
	"North Dakota"	"38"	"Walsh County, ND"	"38099"	0		0
	"South Dakota"	"46"	"Beadle County, SD"	"46005"			Unreliable
	"South Dakota"	"46"	"Jones County, SD"	"46075"	0		0
	"South Dakota"	"46"	"Lyman County, SD"	"46085"	0		0
	"South Dakota"	"46"	"Perkins County, SD"	"46105"			Unreliable
	"South Dakota"	"46"	"Ziebach County, SD"	"46137"			Unreliable
	"Tennessee"	"47"	"Cocke County, TN"	"47029"			Unreliable
	"Tennessee"	"47"	"Fayette County, TN"	"47047"	12	43321	27.7
	"Ohio"	"39"	"Brown County, OH"	"39015"			Unreliable
	"Ohio"	"39"	"Lorain County, OH"	"39093"	42	315789	13.3
	"Ohio"	"39"	"Van Wert County, OH"	"39161"			Unreliable
	"Ohio"	"39"	"Wood County, OH"	"39173"	15	131579	11.4
	"Oklahoma"	"40"	"Atoka County, OK"	"40005"			Unreliable
	"Oklahoma"	"40"	"Custer County, OK"	"40039"			Unreliable
	"Tennessee"	"47"	"Lauderdale County, TN"	"47097"	11	24719	44.5
	"Tennessee"	"47"	"Marshall County, TN"	"47117"			Unreliable
	"Tennessee"	"47"	"Overton County, TN"	"47133"			Unreliable
	"Tennessee"	"47"	"Pickett County, TN"	"47137"			Unreliable
	"Tennessee"	"47"	"Roane County, TN"	"47145"	15	55147	27.2
	"Tennessee"	"47"	"Tipton County, TN"	"47167"	15	61728	24.3
	"Tennessee"	"47"	"Trousdale County, TN"	"47169"			Unreliable
	"Tennessee"	"47"	"Warren County, TN"	"47177"			Unreliable
	"Texas"	"48"	"Bastrop County, TX"	"48021"	17	106250	16
	"Texas"	"48"	"Briscoe County, TX"	"48045"	0		0
	"Texas"	"48"	"Cass County, TX"	"48067"			Unreliable
	"Texas"	"48"	"Coke County, TX"	"48081"	0		0
	"Oklahoma"	"40"	"Pontotoc County, OK"	"40123"			Unreliable
	"Oklahoma"	"40"	"Texas County, OK"	"40139"			Unreliable
	"Oklahoma"	"40"	"Woods County, OK"	"40151"			Unreliable
	"Oregon"	"41"	"Deschutes County, OR"	"41017"	40	206186	19.4
	"Oregon"	"41"	"Marion County, OR"	"41047"	46	345865	13.3
	"Pennsylvania"	"42"	"Blair County, PA"	"42013"	16	120301	13.3
	"Pennsylvania"	"42"	"Carbon County, PA"	"42025"	16	65574	24.4
	"Texas"	"48"	"Baylor County, TX"	"48023"	0		0
	"Texas"	"48"	"Bosque County, TX"	"48035"			Unreliable
	"Texas"	"48"	"Brazoria County, TX"	"48039"	48	387097	12.4
	"Texas"	"48"	"Collingsworth County, TX"	"48087"	0		0
	"Texas"	"48"	"Glasscock County, TX"	"48173"	0		0
	"Texas"	"48"	"Hardeman County, TX"	"48197"	0		0
	"Oklahoma"	"40"	"Blaine County, OK"	"40011"			Unreliable
	"Oklahoma"	"40"	"Pittsburg County, OK"	"40121"	11	43478	25.3
	"Oklahoma"	"40"	"Pushmataha County, OK"	"40127"			Unreliable
	"Oklahoma"	"40"	"Tulsa County, OK"	"40143"	139	678049	20.5
	"Oregon"	"41"	"Jefferson County, OR"	"41031"			Unreliable
	"Oregon"	"41"	"Wasco County, OR"	"41065"			Unreliable
	"Texas"	"48"	"Jones County, TX"	"48253"			Unreliable
	"Texas"	"48"	"Kendall County, TX"	"48259"			Unreliable
