"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Massachusetts"	"25"	"Hampshire County, MA"	"25015"	0		0
	"Massachusetts"	"25"	"Norfolk County, MA"	"25021"			Unreliable
	"Michigan"	"26"	"Baraga County, MI"	"26013"	0		0
	"Michigan"	"26"	"Barry County, MI"	"26015"	0		0
	"Michigan"	"26"	"Keweenaw County, MI"	"26083"	0		0
	"Michigan"	"26"	"Lapeer County, MI"	"26087"	0		0
	"Michigan"	"26"	"Monroe County, MI"	"26115"			Unreliable
	"Michigan"	"26"	"Newaygo County, MI"	"26123"	0		0
	"Michigan"	"26"	"St. Clair County, MI"	"26147"			Unreliable
	"Michigan"	"26"	"Van Buren County, MI"	"26159"			Unreliable
	"Michigan"	"26"	"Wexford County, MI"	"26165"	0		0
	"Minnesota"	"27"	"Beltrami County, MN"	"27007"	0		0
	"Minnesota"	"27"	"Benton County, MN"	"27009"	0		0
	"Minnesota"	"27"	"Blue Earth County, MN"	"27013"			Unreliable
	"Minnesota"	"27"	"Nicollet County, MN"	"27103"	0		0
	"Minnesota"	"27"	"Rock County, MN"	"27133"	0		0
	"Minnesota"	"27"	"St. Louis County, MN"	"27137"	0		0
	"Minnesota"	"27"	"Wabasha County, MN"	"27157"	0		0
	"Minnesota"	"27"	"Wilkin County, MN"	"27167"	0		0
	"Mississippi"	"28"	"Calhoun County, MS"	"28013"	0		0
	"Mississippi"	"28"	"Clay County, MS"	"28025"	0		0
	"Mississippi"	"28"	"Coahoma County, MS"	"28027"	14	20086	69.7
	"Mississippi"	"28"	"Greene County, MS"	"28041"	0		0
	"Mississippi"	"28"	"Madison County, MS"	"28089"	16	112676	14.2
	"Mississippi"	"28"	"Sharkey County, MS"	"28125"			Unreliable
	"Missouri"	"29"	"Howard County, MO"	"29089"	0		0
	"Missouri"	"29"	"New Madrid County, MO"	"29143"	0		0
	"Missouri"	"29"	"Oregon County, MO"	"29149"	0		0
	"Missouri"	"29"	"Reynolds County, MO"	"29179"	0		0
	"Missouri"	"29"	"Scotland County, MO"	"29199"	0		0
	"Missouri"	"29"	"Stone County, MO"	"29209"			Unreliable
	"Missouri"	"29"	"St. Louis city, MO"	"29510"	97	281977	34.4
	"Montana"	"30"	"Judith Basin County, MT"	"30045"			Unreliable
	"Montana"	"30"	"Sweet Grass County, MT"	"30097"	0		0
	"Montana"	"30"	"Toole County, MT"	"30101"	0		0
	"Nebraska"	"31"	"Boone County, NE"	"31011"	0		0
	"Nebraska"	"31"	"Gage County, NE"	"31067"	0		0
	"Nebraska"	"31"	"Morrill County, NE"	"31123"	0		0
	"Nebraska"	"31"	"Nemaha County, NE"	"31127"	0		0
	"Nebraska"	"31"	"Red Willow County, NE"	"31145"	0		0
	"Nebraska"	"31"	"Rock County, NE"	"31149"	0		0
	"Nebraska"	"31"	"Scotts Bluff County, NE"	"31157"			Unreliable
	"Nebraska"	"31"	"Sheridan County, NE"	"31161"	0		0
	"Michigan"	"26"	"Ottawa County, MI"	"26139"			Unreliable
	"Minnesota"	"27"	"Becker County, MN"	"27005"			Unreliable
	"Minnesota"	"27"	"Chippewa County, MN"	"27023"	0		0
	"Minnesota"	"27"	"Crow Wing County, MN"	"27035"	0		0
	"Minnesota"	"27"	"Houston County, MN"	"27055"	0		0
	"Minnesota"	"27"	"Isanti County, MN"	"27059"			Unreliable
	"Minnesota"	"27"	"Lake of the Woods County, MN"	"27077"	0		0
	"Minnesota"	"27"	"Mower County, MN"	"27099"			Unreliable
	"Minnesota"	"27"	"Watonwan County, MN"	"27165"	0		0
	"Mississippi"	"28"	"Covington County, MS"	"28031"			Unreliable
	"Mississippi"	"28"	"George County, MS"	"28039"			Unreliable
