"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Maryland"	"24"	"Caroline County, MD"	"24011"			Unreliable
	"Maryland"	"24"	"Washington County, MD"	"24043"	15	154639	9.7
	"Michigan"	"26"	"Alpena County, MI"	"26007"			Unreliable
	"Michigan"	"26"	"Mecosta County, MI"	"26107"			Unreliable
	"Michigan"	"26"	"Monroe County, MI"	"26115"	18	155172	11.6
	"Michigan"	"26"	"Oscoda County, MI"	"26135"			Unreliable
	"Minnesota"	"27"	"Anoka County, MN"	"27003"	26	366197	7.1
	"Minnesota"	"27"	"Fillmore County, MN"	"27045"			Unreliable
	"Minnesota"	"27"	"Freeborn County, MN"	"27047"			Unreliable
	"Minnesota"	"27"	"Murray County, MN"	"27101"	0		0
	"Minnesota"	"27"	"Rock County, MN"	"27133"			Unreliable
	"Minnesota"	"27"	"Swift County, MN"	"27151"	0		0
	"Mississippi"	"28"	"Leake County, MS"	"28079"			Unreliable
	"Mississippi"	"28"	"Marshall County, MS"	"28093"			Unreliable
	"Mississippi"	"28"	"Wayne County, MS"	"28153"			Unreliable
	"Missouri"	"29"	"Howell County, MO"	"29091"			Unreliable
	"Missouri"	"29"	"Jackson County, MO"	"29095"	78	715596	10.9
	"Missouri"	"29"	"Lincoln County, MO"	"29113"			Unreliable
	"Missouri"	"29"	"Macon County, MO"	"29121"			Unreliable
	"Missouri"	"29"	"Nodaway County, MO"	"29147"			Unreliable
	"Missouri"	"29"	"Ozark County, MO"	"29153"			Unreliable
	"Missouri"	"29"	"St. Clair County, MO"	"29185"	0		0
	"Missouri"	"29"	"Scott County, MO"	"29201"			Unreliable
	"Montana"	"30"	"Hill County, MT"	"30041"			Unreliable
	"Montana"	"30"	"Pondera County, MT"	"30073"			Unreliable
	"Montana"	"30"	"Sweet Grass County, MT"	"30097"	0		0
	"Nebraska"	"31"	"Banner County, NE"	"31007"	0		0
	"Nebraska"	"31"	"Blaine County, NE"	"31009"	0		0
	"Nebraska"	"31"	"Burt County, NE"	"31021"			Unreliable
	"Nebraska"	"31"	"Frontier County, NE"	"31063"	0		0
	"Nebraska"	"31"	"Pawnee County, NE"	"31133"	0		0
	"Nebraska"	"31"	"Sioux County, NE"	"31165"	0		0
	"Minnesota"	"27"	"Kandiyohi County, MN"	"27067"			Unreliable
	"Minnesota"	"27"	"Lake County, MN"	"27075"			Unreliable
	"Minnesota"	"27"	"Morrison County, MN"	"27097"			Unreliable
	"Minnesota"	"27"	"Norman County, MN"	"27107"			Unreliable
	"Minnesota"	"27"	"Pine County, MN"	"27115"			Unreliable
	"Minnesota"	"27"	"Ramsey County, MN"	"27123"	23	547619	4.2
	"Mississippi"	"28"	"Copiah County, MS"	"28029"			Unreliable
	"Mississippi"	"28"	"DeSoto County, MS"	"28033"	19	186275	10.2
	"Mississippi"	"28"	"Lauderdale County, MS"	"28075"			Unreliable
	"Missouri"	"29"	"Barton County, MO"	"29011"			Unreliable
	"Missouri"	"29"	"Cape Girardeau County, MO"	"29031"	11	82090	13.4
	"Missouri"	"29"	"Livingston County, MO"	"29117"			Unreliable
	"Missouri"	"29"	"Phelps County, MO"	"29161"			Unreliable
	"Missouri"	"29"	"Shannon County, MO"	"29203"	0		0
	"Missouri"	"29"	"Stone County, MO"	"29209"			Unreliable
	"Montana"	"30"	"Chouteau County, MT"	"30015"	0		0
	"Montana"	"30"	"Dawson County, MT"	"30021"	0		0
	"Montana"	"30"	"Gallatin County, MT"	"30031"	23	119792	19.2
	"Montana"	"30"	"McCone County, MT"	"30055"	0		0
