"Notes"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Alaska"	"02"	346	733051	47.2
	"Arizona"	"04"	2479	7422156	33.4
	"Arkansas"	"05"	473	3071429	15.4
	"California"	"06"	10897	38917857	28
	"Colorado"	"08"	1702	5868966	29
	"Connecticut"	"09"	1256	3619597	34.7
	"Delaware"	"10"	507	1032587	49.1
	"District of Columbia"	"11"	420	678514	61.9
	"Florida"	"12"	6636	22648464	29.3
	"Georgia"	"13"	2467	11013393	22.4
	"Hawaii"	"15"	302	1438095	21
	"Idaho"	"16"	345	1960227	17.6
	"Illinois"	"17"	3374	12542751	26.9
	"Indiana"	"18"	2153	6856688	31.4
	"Iowa"	"19"	391	3204918	12.2
	"Kansas"	"20"	587	2935000	20
	"Kentucky"	"21"	2017	4522422	44.6
	"Louisiana"	"22"	2167	4571730	47.4
	"Maine"	"23"	564	1396040	40.4
	"Maryland"	"24"	2476	6174564	40.1
	"Massachusetts"	"25"	2293	6990854	32.8
	"Michigan"	"26"	2736	10021978	27.3
	"Minnesota"	"27"	1246	5741935	21.7
	"Mississippi"	"28"	681	2935345	23.2
	"Missouri"	"29"	1893	6186275	30.6
	"Montana"	"30"	170	1133333	15
	"Nebraska"	"31"	150	1973684	7.6
	"Nevada"	"32"	1213	3192105	38
	"New Hampshire"	"33"	423	1400662	30.2
	"New Jersey"	"34"	2608	9281139	28.1
	"New Mexico"	"35"	965	2116228	45.6
	"New York"	"36"	6098	19544872	31.2
	"North Carolina"	"37"	3370	10836013	31.1
	"North Dakota"	"38"	111	781690	14.2
	"Ohio"	"39"	4557	11775194	38.7
	"Oklahoma"	"40"	1215	4050000	30
	"Oregon"	"41"	1674	4237975	39.5
	"Pennsylvania"	"42"	4479	12945087	34.6
	"Rhode Island"	"44"	393	1094708	35.9
	"South Carolina"	"45"	2094	5369231	39
	"South Dakota"	"46"	75	914634	8.2
	"Tennessee"	"47"	3528	7127273	49.5
	"Texas"	"48"	5368	30500000	17.6
	"Utah"	"49"	608	3415730	17.8
	"Vermont"	"50"	247	648294	38.1
	"Virginia"	"51"	2370	8713235	27.2
	"Washington"	"53"	3315	7818396	42.4
	"West Virginia"	"54"	1357	1769231	76.7
	"Alabama"	"01"	1553	5108553	30.4
	"Wisconsin"	"55"	1663	5918149	28.1
	"Wyoming"	"56"	122	583732	20.9
